Result, Turns, Water Level, Tiles Left, Diver, Engineer, Explorer, Messenger, Navigator, Pilot, Tr1, Tr2, Tr3, Tr4, Reason
LOSS, 10, 4, 21, P, P, , P, P, , , , , , Game Over! Treasure 0 can't be captured
WIN, 23, 8, 2, P, , P, P, P, , C, C, C, C, You have WON! Congratulations!
LOSS, 20, 8, 11, , P, P, , P, P, , C, C, , Game Over! Treasure 0 can't be captured
LOSS, 21, 10, 7, P, P, , , P, P, , C, C, C, Game Over! The Island has flooded
LOSS, 16, 8, 11, P, P, P, , P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 4, P, P, , P, P, , C, , , C, Game Over! The Island has flooded
LOSS, 12, 5, 15, , P, , P, P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 19, 7, 9, P, P, , P, P, , C, C, C, , Player was unable to escape a sinking tile
LOSS, 19, 8, 10, P, , P, P, P, , , C, , , Game Over! Treasure 3 can't be captured
LOSS, 25, 10, 7, , P, P, P, , P, C, , C, C, Game Over! The Island has flooded
LOSS, 19, 9, 13, P, P, P, , , P, , C, , , Game Over! Treasure 0 can't be captured
LOSS, 18, 9, 9, P, P, P, , P, , , , , C, Game Over! Treasure 0 can't be captured
LOSS, 23, 10, 8, , P, P, P, , P, C, C, C, , Game Over! The Island has flooded
LOSS, 16, 7, 9, P, , , P, P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 22, 10, 5, P, , P, , P, P, C, , C, C, Game Over! The Island has flooded
LOSS, 11, 5, 17, P, P, , P, , P, , C, , , Game Over! Fools' Landing has sunk
LOSS, 9, 4, 22, P, P, , , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 13, 6, 15, P, P, P, , , P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 24, 9, 2, , P, P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 23, 9, 1, , P, P, P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 15, 7, 14, , P, P, P, P, , C, , , , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 10, P, P, , P, , P, C, C, , C, Game Over! The Island has flooded
LOSS, 9, 4, 21, P, P, P, , P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 3, 4, 21, P, , , P, P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 15, 6, 12, P, , , P, P, P, C, , , C, Player was unable to escape a sinking tile
LOSS, 19, 7, 8, , P, P, P, , P, , , C, , Game Over! Treasure 3 can't be captured
LOSS, 17, 9, 9, , P, P, , P, P, , C, C, , Game Over! Fools' Landing has sunk
LOSS, 18, 8, 11, , P, P, , P, P, C, , C, , Game Over! Treasure 3 can't be captured
LOSS, 18, 10, 13, , , P, P, P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 20, 9, 8, P, , P, P, , P, C, , C, , Game Over! Treasure 1 can't be captured
LOSS, 13, 5, 18, P, P, , , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 18, 10, 9, P, , P, P, P, , C, C, , , Game Over! The Island has flooded
LOSS, 23, 9, 4, P, , P, , P, P, C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 22, 8, 3, , , P, P, P, P, , C, , , Game Over! Treasure 3 can't be captured
